"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2012","All genders","Not applicable","Number","867551"
"Afghanistan","2012","Female","Not applicable","Number","424123"
"Afghanistan","2012","Male","Not applicable","Number","443428"
"Afghanistan","2011","Male","Not applicable","Number","431278"
"Afghanistan","2011","All genders","Not applicable","Number","844028"
"Afghanistan","2011","Female","Not applicable","Number","412750"
"Afghanistan","2010","Female","Not applicable","Number","400150"
"Afghanistan","2010","Male","Not applicable","Number","417844"
"Afghanistan","2010","All genders","Not applicable","Number","817994"
"Afghanistan","2009","All genders","Not applicable","Number","782319"
"Afghanistan","2009","Male","Not applicable","Number","399593"
"Afghanistan","2009","Female","Not applicable","Number","382726"
"Afghanistan","2008","Female","Not applicable","Number","364876"
"Afghanistan","2008","All genders","Not applicable","Number","745702"
"Afghanistan","2008","Male","Not applicable","Number","380826"
"Afghanistan","2007","Male","Not applicable","Number","362980"
"Afghanistan","2007","All genders","Not applicable","Number","711133"
"Afghanistan","2007","Female","Not applicable","Number","348153"
"Afghanistan","2006","Male","Not applicable","Number","345132"
"Afghanistan","2006","Female","Not applicable","Number","331787"
"Afghanistan","2006","All genders","Not applicable","Number","676919"
"Afghanistan","2005","Female","Not applicable","Number","317457"
"Afghanistan","2005","Male","Not applicable","Number","329163"
"Afghanistan","2005","All genders","Not applicable","Number","646620"
"Afghanistan","2004","All genders","Not applicable","Number","620239"
"Afghanistan","2004","Female","Not applicable","Number","304453"
"Afghanistan","2004","Male","Not applicable","Number","315786"
"Afghanistan","2003","Male","Not applicable","Number","302841"
"Afghanistan","2003","Female","Not applicable","Number","291868"
"Afghanistan","2003","All genders","Not applicable","Number","594709"
"Afghanistan","2002","All genders","Not applicable","Number","568671"
"Afghanistan","2002","Female","Not applicable","Number","279085"
"Afghanistan","2002","Male","Not applicable","Number","289586"
"Afghanistan","2001","Male","Not applicable","Number","277742"
"Afghanistan","2001","All genders","Not applicable","Number","545314"
"Afghanistan","2001","Female","Not applicable","Number","267572"
"Afghanistan","2000","Female","Not applicable","Number","257828"
"Afghanistan","2000","Male","Not applicable","Number","268172"
"Afghanistan","2000","All genders","Not applicable","Number","526000"
"Afghanistan","1999","Male","Not applicable","Number","259204"
"Afghanistan","1999","All genders","Not applicable","Number","507797"
"Afghanistan","1999","Female","Not applicable","Number","248593"
"Afghanistan","1998","All genders","Not applicable","Number","493490"
"Afghanistan","1998","Female","Not applicable","Number","241174"
"Afghanistan","1998","Male","Not applicable","Number","252316"
"Afghanistan","1997","Male","Not applicable","Number","246712"
"Afghanistan","1997","All genders","Not applicable","Number","481673"
"Afghanistan","1997","Female","Not applicable","Number","234961"
"Afghanistan","1996","Female","Not applicable","Number","228234"
"Afghanistan","1996","Male","Not applicable","Number","240558"
"Afghanistan","1996","All genders","Not applicable","Number","468792"
"Afghanistan","1995","All genders","Not applicable","Number","450786"
"Afghanistan","1995","Female","Not applicable","Number","219088"
"Afghanistan","1995","Male","Not applicable","Number","231698"
"Afghanistan","1994","Female","Not applicable","Number","205715"
"Afghanistan","1994","All genders","Not applicable","Number","424201"
"Afghanistan","1994","Male","Not applicable","Number","218486"
"Afghanistan","1993","All genders","Not applicable","Number","392709"
"Afghanistan","1993","Female","Not applicable","Number","190013"
"Afghanistan","1993","Male","Not applicable","Number","202696"
"Afghanistan","1992","Male","Not applicable","Number","186385"
"Afghanistan","1992","Female","Not applicable","Number","173894"
"Afghanistan","1992","All genders","Not applicable","Number","360279"
"Afghanistan","1991","All genders","Not applicable","Number","331968"
"Afghanistan","1991","Male","Not applicable","Number","172129"
"Afghanistan","1991","Female","Not applicable","Number","159839"
"Afghanistan","1990","Female","Not applicable","Number","149418"
"Afghanistan","1990","All genders","Not applicable","Number","310909"
"Afghanistan","1990","Male","Not applicable","Number","161491"
"Afghanistan","1989","All genders","Not applicable","Number","296603"
"Afghanistan","1989","Male","Not applicable","Number","154160"
"Afghanistan","1989","Female","Not applicable","Number","142443"
"Afghanistan","1988","Male","Not applicable","Number","149844"
"Afghanistan","1988","Female","Not applicable","Number","138465"
"Afghanistan","1988","All genders","Not applicable","Number","288309"
"Afghanistan","1987","All genders","Not applicable","Number","286653"
"Afghanistan","1987","Male","Not applicable","Number","148899"
"Afghanistan","1987","Female","Not applicable","Number","137754"
"Afghanistan","1986","Female","Not applicable","Number","139396"
"Afghanistan","1986","All genders","Not applicable","Number","289766"
"Afghanistan","1986","Male","Not applicable","Number","150370"
"Afghanistan","1985","Male","Not applicable","Number","153320"
"Afghanistan","1985","All genders","Not applicable","Number","295801"
"Afghanistan","1985","Female","Not applicable","Number","142481"
"Afghanistan","1984","Female","Not applicable","Number","145533"
"Afghanistan","1984","All genders","Not applicable","Number","301525"
"Afghanistan","1984","Male","Not applicable","Number","155992"
"Afghanistan","1983","Male","Not applicable","Number","159458"
"Afghanistan","1983","Female","Not applicable","Number","149348"
"Afghanistan","1983","All genders","Not applicable","Number","308806"
"Afghanistan","1982","All genders","Not applicable","Number","317229"
"Afghanistan","1982","Female","Not applicable","Number","153725"
"Afghanistan","1982","Male","Not applicable","Number","163504"
"Afghanistan","1981","Male","Not applicable","Number","167543"
"Afghanistan","1981","Female","Not applicable","Number","158080"
"Afghanistan","1981","All genders","Not applicable","Number","325623"
"Afghanistan","1980","Male","Not applicable","Number","170557"
"Afghanistan","1980","All genders","Not applicable","Number","331937"
"Afghanistan","1980","Female","Not applicable","Number","161380"
"Afghanistan","1979","Female","Not applicable","Number","167266"
"Afghanistan","1979","All genders","Not applicable","Number","343613"
"Afghanistan","1979","Male","Not applicable","Number","176347"
"Afghanistan","1978","Male","Not applicable","Number","174296"
"Afghanistan","1978","All genders","Not applicable","Number","339782"
"Afghanistan","1978","Female","Not applicable","Number","165486"
"Afghanistan","1977","All genders","Not applicable","Number","333561"
"Afghanistan","1977","Female","Not applicable","Number","162508"
"Afghanistan","1977","Male","Not applicable","Number","171053"
"Afghanistan","1976","Male","Not applicable","Number","167623"
"Afghanistan","1976","Female","Not applicable","Number","159296"
"Afghanistan","1976","All genders","Not applicable","Number","326919"
"Afghanistan","1975","All genders","Not applicable","Number","320865"
"Afghanistan","1975","Male","Not applicable","Number","164527"
"Afghanistan","1975","Female","Not applicable","Number","156338"
"Albania","2003","Female","Not applicable","Number","31485"
"Albania","2003","Male","Not applicable","Number","32556"
"Albania","2003","All genders","Not applicable","Number","64041"
"Albania","2002","All genders","Not applicable","Number","66099"
"Albania","2002","Male","Not applicable","Number","33755"
"Albania","2002","Female","Not applicable","Number","32344"
"Albania","2001","Female","Not applicable","Number","33280"
"Albania","2001","Male","Not applicable","Number","35071"
"Albania","2001","All genders","Not applicable","Number","68351"
"Albania","2000","All genders","Not applicable","Number","70845"
"Albania","2000","Male","Not applicable","Number","36339"
"Albania","2000","Female","Not applicable","Number","34506"
"Albania","1999","Female","Not applicable","Number","35557"
"Albania","1999","Male","Not applicable","Number","37490"
"Albania","1999","All genders","Not applicable","Number","73047"
"Albania","1998","Male","Not applicable","Number","38082"
"Albania","1998","All genders","Not applicable","Number","74295"
"Albania","1998","Female","Not applicable","Number","36213"
"Albania","1997","Female","Not applicable","Number","36476"
"Albania","1997","All genders","Not applicable","Number","74666"
"Albania","1997","Male","Not applicable","Number","38190"
"Albania","1996","Male","Not applicable","Number","38136"
"Albania","1996","All genders","Not applicable","Number","74605"
"Albania","1996","Female","Not applicable","Number","36469"
"Albania","1995","Female","Not applicable","Number","36286"
"Albania","1995","Male","Not applicable","Number","37856"
"Albania","1995","All genders","Not applicable","Number","74142"
"Albania","1994","All genders","Not applicable","Number","73851"
"Albania","1994","Male","Not applicable","Number","37700"
"Albania","1994","Female","Not applicable","Number","36151"
"Albania","1993","Female","Not applicable","Number","36359"
"Albania","1993","Male","Not applicable","Number","37946"
"Albania","1993","All genders","Not applicable","Number","74305"
"Albania","1992","All genders","Not applicable","Number","75187"
"Albania","1992","Female","Not applicable","Number","36752"
"Albania","1992","Male","Not applicable","Number","38435"
"Albania","1991","Male","Not applicable","Number","38844"
"Albania","1991","Female","Not applicable","Number","37006"
"Albania","1991","All genders","Not applicable","Number","75850"
"Albania","1990","All genders","Not applicable","Number","76074"
"Albania","1990","Female","Not applicable","Number","37057"
"Albania","1990","Male","Not applicable","Number","39017"
"Albania","1989","Male","Not applicable","Number","38904"
"Albania","1989","Female","Not applicable","Number","36908"
"Albania","1989","All genders","Not applicable","Number","75812"
"Albania","1988","Male","Not applicable","Number","38517"
"Albania","1988","All genders","Not applicable","Number","75062"
"Albania","1988","Female","Not applicable","Number","36545"
"Albania","1987","Female","Not applicable","Number","36056"
"Albania","1987","All genders","Not applicable","Number","74012"
"Albania","1987","Male","Not applicable","Number","37956"
"Albania","1986","All genders","Not applicable","Number","72864"
"Albania","1986","Male","Not applicable","Number","37317"
"Albania","1986","Female","Not applicable","Number","35547"
"Albania","1985","Female","Not applicable","Number","35158"
"Albania","1985","Male","Not applicable","Number","36825"
"Albania","1985","All genders","Not applicable","Number","71983"
"Albania","1984","All genders","Not applicable","Number","71074"
"Albania","1984","Male","Not applicable","Number","36324"
"Albania","1984","Female","Not applicable","Number","34750"
"Albania","1983","Female","Not applicable","Number","34241"
"Albania","1983","All genders","Not applicable","Number","69990"
"Albania","1983","Male","Not applicable","Number","35749"
"Albania","1982","Male","Not applicable","Number","35106"
"Albania","1982","All genders","Not applicable","Number","68751"
"Albania","1982","Female","Not applicable","Number","33645"
"Albania","1981","Female","Not applicable","Number","33030"
"Albania","1981","All genders","Not applicable","Number","67464"
"Albania","1981","Male","Not applicable","Number","34434"
"Albania","1980","All genders","Not applicable","Number","66040"
"Albania","1980","Female","Not applicable","Number","32349"
"Albania","1980","Male","Not applicable","Number","33691"
"Albania","1979","Male","Not applicable","Number","32986"
"Albania","1979","Female","Not applicable","Number","31700"
"Albania","1979","All genders","Not applicable","Number","64686"
"Albania","1978","Male","Not applicable","Number","32441"
"Albania","1978","All genders","Not applicable","Number","63642"
"Albania","1978","Female","Not applicable","Number","31201"
"Albania","1977","Female","Not applicable","Number","30839"
"Albania","1977","All genders","Not applicable","Number","62877"
"Albania","1977","Male","Not applicable","Number","32038"
"Albania","1976","All genders","Not applicable","Number","62224"
"Albania","1976","Female","Not applicable","Number","30534"
"Albania","1976","Male","Not applicable","Number","31690"
"Albania","1975","Male","Not applicable","Number","31323"
"Albania","1975","Female","Not applicable","Number","30197"
"Albania","1975","All genders","Not applicable","Number","61520"
"Algeria","2012","Female","Not applicable","Number","281144"
"Algeria","2012","All genders","Not applicable","Number","574464"
"Algeria","2012","Male","Not applicable","Number","293320"
"Algeria","2011","Male","Not applicable","Number","299753"
"Algeria","2011","All genders","Not applicable","Number","586690"
"Algeria","2011","Female","Not applicable","Number","286937"
"Algeria","2010","Female","Not applicable","Number","294372"
"Algeria","2010","All genders","Not applicable","Number","602452"
"Algeria","2010","Male","Not applicable","Number","308080"
"Algeria","2009","Male","Not applicable","Number","317664"
"Algeria","2009","All genders","Not applicable","Number","621246"
"Algeria","2009","Female","Not applicable","Number","303582"
"Algeria","2008","Female","Not applicable","Number","325976"
"Algeria","2008","All genders","Not applicable","Number","665751"
"Algeria","2008","Male","Not applicable","Number","339775"
"Algeria","2007","Male","Not applicable","Number","352732"
"Algeria","2007","All genders","Not applicable","Number","691824"
"Algeria","2007","Female","Not applicable","Number","339092"
"Algeria","2006","Female","Not applicable","Number","353205"
"Algeria","2006","Male","Not applicable","Number","366624"
"Algeria","2006","All genders","Not applicable","Number","719829"
"Algeria","2005","All genders","Not applicable","Number","744541"
"Algeria","2005","Male","Not applicable","Number","379033"
"Algeria","2005","Female","Not applicable","Number","365508"
"Algeria","2004","Female","Not applicable","Number","374571"
"Algeria","2004","All genders","Not applicable","Number","763140"
"Algeria","2004","Male","Not applicable","Number","388569"
"Algeria","2003","Male","Not applicable","Number","396521"
"Algeria","2003","All genders","Not applicable","Number","778426"
"Algeria","2003","Female","Not applicable","Number","381905"
"Algeria","2002","Female","Not applicable","Number","388555"
"Algeria","2002","All genders","Not applicable","Number","792351"
"Algeria","2002","Male","Not applicable","Number","403796"
"Algeria","2001","Male","Not applicable","Number","409731"
"Algeria","2001","All genders","Not applicable","Number","803535"
"Algeria","2001","Female","Not applicable","Number","393804"
"Algeria","2000","Female","Not applicable","Number","397502"
"Algeria","2000","All genders","Not applicable","Number","811459"
"Algeria","2000","Male","Not applicable","Number","413957"
"Algeria","1999","Male","Not applicable","Number","415857"
"Algeria","1999","All genders","Not applicable","Number","815038"
"Algeria","1999","Female","Not applicable","Number","399181"
"Algeria","1998","Female","Not applicable","Number","399188"
"Algeria","1998","All genders","Not applicable","Number","815033"
"Algeria","1998","Male","Not applicable","Number","415845"
"Algeria","1997","Male","Not applicable","Number","414895"
"Algeria","1997","All genders","Not applicable","Number","813297"
"Algeria","1997","Female","Not applicable","Number","398402"
"Algeria","1996","All genders","Not applicable","Number","810898"
"Algeria","1996","Female","Not applicable","Number","397376"
"Algeria","1996","Male","Not applicable","Number","413522"
"Algeria","1995","Male","Not applicable","Number","408228"
"Algeria","1995","All genders","Not applicable","Number","800770"
"Algeria","1995","Female","Not applicable","Number","392542"
"Algeria","1994","Female","Not applicable","Number","383290"
"Algeria","1994","All genders","Not applicable","Number","781855"
"Algeria","1994","Male","Not applicable","Number","398565"
"Algeria","1993","Male","Not applicable","Number","387091"
"Algeria","1993","Female","Not applicable","Number","372113"
"Algeria","1993","All genders","Not applicable","Number","759204"
"Algeria","1992","All genders","Not applicable","Number","735827"
"Algeria","1992","Female","Not applicable","Number","360487"
"Algeria","1992","Male","Not applicable","Number","375340"
"Algeria","1991","Male","Not applicable","Number","362756"
"Algeria","1991","All genders","Not applicable","Number","710576"
"Algeria","1991","Female","Not applicable","Number","347820"
"Algeria","1990","Female","Not applicable","Number","336134"
"Algeria","1990","All genders","Not applicable","Number","686869"
"Algeria","1990","Male","Not applicable","Number","350735"
"Algeria","1989","Male","Not applicable","Number","340007"
"Algeria","1989","All genders","Not applicable","Number","666002"
"Algeria","1989","Female","Not applicable","Number","325995"
"Algeria","1988","Female","Not applicable","Number","316278"
"Algeria","1988","All genders","Not applicable","Number","645931"
"Algeria","1988","Male","Not applicable","Number","329653"
"Algeria","1987","Male","Not applicable","Number","319116"
"Algeria","1987","All genders","Not applicable","Number","625440"
"Algeria","1987","Female","Not applicable","Number","306324"
"Algeria","1986","Female","Not applicable","Number","296791"
"Algeria","1986","All genders","Not applicable","Number","605803"
"Algeria","1986","Male","Not applicable","Number","309012"
"Algeria","1985","Male","Not applicable","Number","298756"
"Algeria","1985","All genders","Not applicable","Number","585700"
"Algeria","1985","Female","Not applicable","Number","286944"
"Algeria","1984","Female","Not applicable","Number","277152"
"Algeria","1984","All genders","Not applicable","Number","566055"
"Algeria","1984","Male","Not applicable","Number","288903"
"Algeria","1983","Male","Not applicable","Number","279502"
"Algeria","1983","All genders","Not applicable","Number","547174"
"Algeria","1983","Female","Not applicable","Number","267672"
"Algeria","1982","Female","Not applicable","Number","258633"
"Algeria","1982","All genders","Not applicable","Number","529218"
"Algeria","1982","Male","Not applicable","Number","270585"
"Algeria","1981","Male","Not applicable","Number","262322"
"Algeria","1981","All genders","Not applicable","Number","512430"
"Algeria","1981","Female","Not applicable","Number","250108"
"Algeria","1980","Female","Not applicable","Number","242317"
"Algeria","1980","All genders","Not applicable","Number","496648"
"Algeria","1980","Male","Not applicable","Number","254331"
"Algeria","1979","Male","Not applicable","Number","247030"
"Algeria","1979","All genders","Not applicable","Number","482507"
"Algeria","1979","Female","Not applicable","Number","235477"
"Algeria","1978","Female","Not applicable","Number","229439"
"Algeria","1978","All genders","Not applicable","Number","469900"
"Algeria","1978","Male","Not applicable","Number","240461"
"Algeria","1977","All genders","Not applicable","Number","458909"
"Algeria","1977","Male","Not applicable","Number","234726"
"Algeria","1977","Female","Not applicable","Number","224183"
"Algeria","1976","All genders","Not applicable","Number","449967"
"Algeria","1976","Female","Not applicable","Number","219969"
"Algeria","1976","Male","Not applicable","Number","229998"
"Algeria","1975","Male","Not applicable","Number","224641"
"Algeria","1975","All genders","Not applicable","Number","439660"
"Algeria","1975","Female","Not applicable","Number","215019"
"American Samoa","2006","All genders","Not applicable","Number","1551"
"American Samoa","2006","Female","Not applicable","Number","748"
"American Samoa","2006","Male","Not applicable","Number","803"
"American Samoa","1996","Male","Not applicable","Number","526"
"American Samoa","1996","Female","Not applicable","Number","483"
"American Samoa","1996","All genders","Not applicable","Number","1009"
"American Samoa","1992","All genders","Not applicable","Number","970"
"American Samoa","1992","Female","Not applicable","Number","444"
"American Samoa","1992","Male","Not applicable","Number","526"
"American Samoa","1991","Female","Not applicable","Number","442"
"American Samoa","1991","All genders","Not applicable","Number","967"
"American Samoa","1991","Male","Not applicable","Number","525"
"American Samoa","1990","Male","Not applicable","Number","513"
"American Samoa","1990","All genders","Not applicable","Number","955"
"American Samoa","1990","Female","Not applicable","Number","442"
"Andorra","1998","Female","Not applicable","Number","313"
"Andorra","1998","Male","Not applicable","Number","332"
"Andorra","1998","All genders","Not applicable","Number","645"
"Andorra","1997","Male","Not applicable","Number","336"
"Andorra","1997","All genders","Not applicable","Number","652"
"Andorra","1997","Female","Not applicable","Number","316"
"Andorra","1996","Female","Not applicable","Number","320"
"Andorra","1996","All genders","Not applicable","Number","658"
"Andorra","1996","Male","Not applicable","Number","338"
"Andorra","1995","Male","Not applicable","Number","337"
"Andorra","1995","All genders","Not applicable","Number","663"
"Andorra","1995","Female","Not applicable","Number","326"
"Andorra","1994","Female","Not applicable","Number","328"
"Andorra","1994","Male","Not applicable","Number","341"
"Andorra","1994","All genders","Not applicable","Number","669"
"Andorra","1993","All genders","Not applicable","Number","673"
"Andorra","1993","Male","Not applicable","Number","345"
"Andorra","1993","Female","Not applicable","Number","328"
"Andorra","1992","Female","Not applicable","Number","330"
"Andorra","1992","Male","Not applicable","Number","349"
"Andorra","1992","All genders","Not applicable","Number","679"
"Andorra","1991","All genders","Not applicable","Number","692"
"Andorra","1991","Male","Not applicable","Number","356"
"Andorra","1991","Female","Not applicable","Number","336"
"Andorra","1990","Female","Not applicable","Number","335"
"Andorra","1990","Male","Not applicable","Number","359"
"Andorra","1990","All genders","Not applicable","Number","694"
"Andorra","1989","All genders","Not applicable","Number","694"
"Andorra","1989","Male","Not applicable","Number","361"
"Andorra","1989","Female","Not applicable","Number","333"
"Andorra","1988","Female","Not applicable","Number","332"
"Andorra","1988","Male","Not applicable","Number","362"
"Andorra","1988","All genders","Not applicable","Number","694"
"Andorra","1987","All genders","Not applicable","Number","694"
"Andorra","1987","Male","Not applicable","Number","360"
"Andorra","1987","Female","Not applicable","Number","334"
"Andorra","1986","Female","Not applicable","Number","336"
"Andorra","1986","Male","Not applicable","Number","363"
"Andorra","1986","All genders","Not applicable","Number","699"
"Andorra","1985","Male","Not applicable","Number","362"
"Andorra","1985","All genders","Not applicable","Number","701"
"Andorra","1985","Female","Not applicable","Number","339"
"Andorra","1984","Female","Not applicable","Number","346"
"Andorra","1984","Male","Not applicable","Number","367"
"Andorra","1984","All genders","Not applicable","Number","713"
"Andorra","1983","All genders","Not applicable","Number","729"
"Andorra","1983","Male","Not applicable","Number","375"
"Andorra","1983","Female","Not applicable","Number","354"
"Andorra","1982","Female","Not applicable","Number","364"
"Andorra","1982","All genders","Not applicable","Number","751"
"Andorra","1982","Male","Not applicable","Number","387"
"Andorra","1981","Male","Not applicable","Number","415"
"Andorra","1981","All genders","Not applicable","Number","805"
"Andorra","1981","Female","Not applicable","Number","390"
"Andorra","1980","Female","Not applicable","Number","362"
"Andorra","1980","All genders","Not applicable","Number","750"
"Andorra","1980","Male","Not applicable","Number","388"
"Andorra","1979","Male","Not applicable","Number","346"
"Andorra","1979","All genders","Not applicable","Number","666"
"Andorra","1979","Female","Not applicable","Number","320"
"Andorra","1978","Female","Not applicable","Number","277"
"Andorra","1978","Male","Not applicable","Number","304"
"Andorra","1978","All genders","Not applicable","Number","581"
"Andorra","1977","All genders","Not applicable","Number","534"
"Andorra","1977","Male","Not applicable","Number","281"
"Andorra","1977","Female","Not applicable","Number","253"
"Andorra","1976","Female","Not applicable","Number","259"
"Andorra","1976","Male","Not applicable","Number","287"
"Andorra","1976","All genders","Not applicable","Number","546"
"Andorra","1975","All genders","Not applicable","Number","577"
"Andorra","1975","Male","Not applicable","Number","303"
"Andorra","1975","Female","Not applicable","Number","274"
"Angola","2011","Female","Not applicable","Number","267909"
"Angola","2011","Male","Not applicable","Number","268465"
"Angola","2011","All genders","Not applicable","Number","536374"
"Angola","2010","All genders","Not applicable","Number","516927"
"Angola","2010","Female","Not applicable","Number","258253"
"Angola","2010","Male","Not applicable","Number","258674"
"Angola","2009","Male","Not applicable","Number","249229"
"Angola","2009","Female","Not applicable","Number","249164"
"Angola","2009","All genders","Not applicable","Number","498393"
"Angola","2008","All genders","Not applicable","Number","480557"
"Angola","2008","Male","Not applicable","Number","240028"
"Angola","2008","Female","Not applicable","Number","240529"
"Angola","2007","Female","Not applicable","Number","232330"
"Angola","2007","All genders","Not applicable","Number","463556"
"Angola","2007","Male","Not applicable","Number","231226"
"Angola","2006","Male","Not applicable","Number","241857"
"Angola","2006","All genders","Not applicable","Number","484250"
"Angola","2006","Female","Not applicable","Number","242393"
"Angola","2005","Female","Not applicable","Number","234007"
"Angola","2005","All genders","Not applicable","Number","466924"
"Angola","2005","Male","Not applicable","Number","232917"
"Angola","2004","All genders","Not applicable","Number","451694"
"Angola","2004","Male","Not applicable","Number","225034"
"Angola","2004","Female","Not applicable","Number","226660"
"Angola","2003","Female","Not applicable","Number","219130"
"Angola","2003","Male","Not applicable","Number","216978"
"Angola","2003","All genders","Not applicable","Number","436108"
"Angola","2002","All genders","Not applicable","Number","420486"
"Angola","2002","Male","Not applicable","Number","208959"
"Angola","2002","Female","Not applicable","Number","211527"
"Angola","2001","Female","Not applicable","Number","204244"
"Angola","2001","All genders","Not applicable","Number","405641"
"Angola","2001","Male","Not applicable","Number","201397"
"Angola","2000","Male","Not applicable","Number","194723"
"Angola","2000","All genders","Not applicable","Number","392442"
"Angola","2000","Female","Not applicable","Number","197719"
"Angola","1999","Female","Not applicable","Number","193010"
"Angola","1999","Male","Not applicable","Number","189857"
"Angola","1999","All genders","Not applicable","Number","382867"
"Angola","1998","All genders","Not applicable","Number","373054"
"Angola","1998","Male","Not applicable","Number","184901"
"Angola","1998","Female","Not applicable","Number","188153"
"Angola","1997","Female","Not applicable","Number","182798"
"Angola","1997","Male","Not applicable","Number","179593"
"Angola","1997","All genders","Not applicable","Number","362391"
"Angola","1996","All genders","Not applicable","Number","351128"
"Angola","1996","Male","Not applicable","Number","174069"
"Angola","1996","Female","Not applicable","Number","177059"
"Angola","1995","Female","Not applicable","Number","171324"
"Angola","1995","Male","Not applicable","Number","168686"
"Angola","1995","All genders","Not applicable","Number","340010"
"Angola","1994","All genders","Not applicable","Number","330488"
"Angola","1994","Male","Not applicable","Number","164166"
"Angola","1994","Female","Not applicable","Number","166322"
"Angola","1993","Female","Not applicable","Number","160723"
"Angola","1993","Male","Not applicable","Number","158998"
"Angola","1993","All genders","Not applicable","Number","319721"
"Angola","1992","All genders","Not applicable","Number","308070"
"Angola","1992","Male","Not applicable","Number","153294"
"Angola","1992","Female","Not applicable","Number","154776"
"Angola","1991","Female","Not applicable","Number","149000"
"Angola","1991","Male","Not applicable","Number","147618"
"Angola","1991","All genders","Not applicable","Number","296618"
"Angola","1990","All genders","Not applicable","Number","286481"
"Angola","1990","Male","Not applicable","Number","142595"
"Angola","1990","Female","Not applicable","Number","143886"
"Angola","1989","Female","Not applicable","Number","140358"
"Angola","1989","Male","Not applicable","Number","139246"
"Angola","1989","All genders","Not applicable","Number","279604"
"Angola","1988","Male","Not applicable","Number","135746"
"Angola","1988","All genders","Not applicable","Number","272520"
"Angola","1988","Female","Not applicable","Number","136774"
"Angola","1987","Female","Not applicable","Number","132765"
"Angola","1987","Male","Not applicable","Number","131722"
"Angola","1987","All genders","Not applicable","Number","264487"
"Angola","1986","All genders","Not applicable","Number","255636"
"Angola","1986","Male","Not applicable","Number","127266"
"Angola","1986","Female","Not applicable","Number","128370"
"Angola","1985","Female","Not applicable","Number","123909"
"Angola","1985","Male","Not applicable","Number","122763"
"Angola","1985","All genders","Not applicable","Number","246672"
"Angola","1984","All genders","Not applicable","Number","238523"
"Angola","1984","Female","Not applicable","Number","119843"
"Angola","1984","Male","Not applicable","Number","118680"
"Angola","1983","Male","Not applicable","Number","114196"
"Angola","1983","Female","Not applicable","Number","115399"
"Angola","1983","All genders","Not applicable","Number","229595"
"Angola","1982","All genders","Not applicable","Number","220649"
"Angola","1982","Male","Not applicable","Number","109707"
"Angola","1982","Female","Not applicable","Number","110942"
"Angola","1981","Female","Not applicable","Number","106842"
"Angola","1981","All genders","Not applicable","Number","212441"
"Angola","1981","Male","Not applicable","Number","105599"
"Angola","1980","Male","Not applicable","Number","102148"
"Angola","1980","All genders","Not applicable","Number","205506"
"Angola","1980","Female","Not applicable","Number","103358"
"Angola","1979","Female","Not applicable","Number","101140"
"Angola","1979","Male","Not applicable","Number","100003"
"Angola","1979","All genders","Not applicable","Number","201143"
"Angola","1978","All genders","Not applicable","Number","196727"
"Angola","1978","Male","Not applicable","Number","97820"
"Angola","1978","Female","Not applicable","Number","98907"
"Angola","1977","Female","Not applicable","Number","96397"
"Angola","1977","Male","Not applicable","Number","95311"
"Angola","1977","All genders","Not applicable","Number","191708"
"Angola","1976","All genders","Not applicable","Number","186351"
"Angola","1976","Female","Not applicable","Number","93734"
"Angola","1976","Male","Not applicable","Number","92617"
"Angola","1975","All genders","Not applicable","Number","181345"
"Angola","1975","Male","Not applicable","Number","90105"
"Angola","1975","Female","Not applicable","Number","91240"
"Anguilla","2008","Male","Not applicable","Number","137"
"Anguilla","2008","Female","Not applicable","Number","145"
"Anguilla","2008","All genders","Not applicable","Number","282"
"Anguilla","2007","All genders","Not applicable","Number","275"
"Anguilla","2007","Male","Not applicable","Number","134"
"Anguilla","2007","Female","Not applicable","Number","141"
"Anguilla","2006","Female","Not applicable","Number","138"
"Anguilla","2006","Male","Not applicable","Number","130"
"Anguilla","2006","All genders","Not applicable","Number","268"
"Anguilla","2005","All genders","Not applicable","Number","262"
"Anguilla","2005","Male","Not applicable","Number","127"
"Anguilla","2005","Female","Not applicable","Number","135"
"Anguilla","2004","Female","Not applicable","Number","131"
"Anguilla","2004","All genders","Not applicable","Number","255"
"Anguilla","2004","Male","Not applicable","Number","124"
"Anguilla","2003","Male","Not applicable","Number","121"
"Anguilla","2003","All genders","Not applicable","Number","249"
"Anguilla","2003","Female","Not applicable","Number","128"
"Anguilla","2002","Female","Not applicable","Number","123"
"Anguilla","2002","Male","Not applicable","Number","116"
"Anguilla","2002","All genders","Not applicable","Number","239"
"Anguilla","2001","All genders","Not applicable","Number","235"
"Anguilla","2001","Male","Not applicable","Number","114"
"Anguilla","2001","Female","Not applicable","Number","121"
"Anguilla","2000","Female","Not applicable","Number","118"
"Anguilla","2000","Male","Not applicable","Number","111"
"Anguilla","2000","All genders","Not applicable","Number","229"
"Anguilla","1993","All genders","Not applicable","Number","191"
"Anguilla","1993","Male","Not applicable","Number","84"
"Anguilla","1993","Female","Not applicable","Number","107"
"Anguilla","1975","Female","Not applicable","Number","97"
"Anguilla","1975","Male","Not applicable","Number","110"
"Anguilla","1975","All genders","Not applicable","Number","207"
"Antigua and Barbuda","2012","All genders","Not applicable","Number","1571"
"Antigua and Barbuda","2012","Male","Not applicable","Number","794"
"Antigua and Barbuda","2012","Female","Not applicable","Number","777"
"Antigua and Barbuda","2011","Female","Not applicable","Number","778"
"Antigua and Barbuda","2011","Male","Not applicable","Number","805"
