browser,site,parallelBR,amountMB,timeM
sfr,rs,2,171.5,60
sfr,bs,2,849.3,300
ff,ul,1,96.1,20
ff,fs,3,73.9,4
ff,bs,3,164,8
ff,ul,3,59.8,22
ff,rs,2,175,78
ff,ul,2,69,30
ff,ul,3,119,36
ff,rs,3,76.1,35
ff,rg,3,47,17
sfr,bs,2,200,53
sfr,fs,2,107.2,42
sfr,df,1,84.4,23
sfr,rs,3,139.1,102
sfr,ul,3,61,60
sfr,rg,3,107.5,101
sfr,bs,1,354.4,180
sfr,bs,2,115.5,40
sfr,fs,2,72.8,20
sfr,rs,2,208.2,180
sfr,bs,2,249,7
str,bs,1,228.1,50
str,rs,2,65.4,76
str,bs,2,43.1,44
